ensembl	entrez	symbol	uniprot	name
ENSG00000204574	23	ABCF1	Q8NE71	ATP binding cassette subfamily F member 1
ENSG00000204574	23	ABCF1	Q2L6I2	ATP binding cassette subfamily F member 1
ENSG00000236149	23	ABCF1	A0A1U9X609	ATP binding cassette subfamily F member 1
ENSG00000236149	23	ABCF1	Q8NE71	ATP binding cassette subfamily F member 1
ENSG00000236149	23	ABCF1	Q2L6I2	ATP binding cassette subfamily F member 1
ENSG00000232169	23	ABCF1	A0A1U9X609	ATP binding cassette subfamily F member 1
ENSG00000232169	23	ABCF1	Q8NE71	ATP binding cassette subfamily F member 1
ENSG00000232169	23	ABCF1	Q2L6I2	ATP binding cassette subfamily F member 1
ENSG00000231129	23	ABCF1	A0A1U9X609	ATP binding cassette subfamily F member 1
ENSG00000231129	23	ABCF1	Q8NE71	ATP binding cassette subfamily F member 1
ENSG00000231129	23	ABCF1	Q2L6I2	ATP binding cassette subfamily F member 1
ENSG00000236342	23	ABCF1	A0A1U9X609	ATP binding cassette subfamily F member 1
ENSG00000236342	23	ABCF1	Q8NE71	ATP binding cassette subfamily F member 1
ENSG00000236342	23	ABCF1	Q2L6I2	ATP binding cassette subfamily F member 1
ENSG00000206490	23	ABCF1	A0A1U9X609	ATP binding cassette subfamily F member 1
ENSG00000206490	23	ABCF1	Q8NE71	ATP binding cassette subfamily F member 1
ENSG00000206490	23	ABCF1	Q2L6I2	ATP binding cassette subfamily F member 1
ENSG00000225989	23	ABCF1	A0A1U9X609	ATP binding cassette subfamily F member 1
ENSG00000225989	23	ABCF1	Q8NE71	ATP binding cassette subfamily F member 1
ENSG00000225989	23	ABCF1	Q2L6I2	ATP binding cassette subfamily F member 1
ENSG00000198691	24	ABCA4	P78363	ATP binding cassette subfamily A member 4
ENSG00000198691	24	ABCA4	Q6AI28	ATP binding cassette subfamily A member 4
ENSG00000097007	25	ABL1	A0A024R8E2	ABL proto-oncogene 1, non-receptor tyrosine kinase
ENSG00000097007	25	ABL1	P00519	ABL proto-oncogene 1, non-receptor tyrosine kinase
ENSG00000097007	25	ABL1	Q59FK4	ABL proto-oncogene 1, non-receptor tyrosine kinase
ENSG00000002726	26	AOC1	P19801	amine oxidase, copper containing 1
ENSG00000143322	27	ABL2	P42684	ABL proto-oncogene 2, non-receptor tyrosine kinase
ENSG00000175164	28	ABO	A0A089QDC1	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ENSG00000175164	28	ABO	P16442	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ENSG00000281879	28	ABO	A0A089QDC1	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ENSG00000281879	28	ABO	P16442	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ENSG00000159842	29	ABR	B7Z2X0	ABR, RhoGEF and GTPase activating protein
ENSG00000159842	29	ABR	Q12979	ABR, RhoGEF and GTPase activating protein
ENSG00000159842	29	ABR	Q6ZT60	ABR, RhoGEF and GTPase activating protein
ENSG00000159842	29	ABR	B7Z7Z1	ABR, RhoGEF and GTPase activating protein
ENSG00000159842	29	ABR	B7Z683	ABR, RhoGEF and GTPase activating protein
ENSG00000278741	29	ABR	B7Z2X0	ABR, RhoGEF and GTPase activating protein
ENSG00000278741	29	ABR	Q12979	ABR, RhoGEF and GTPase activating protein
ENSG00000278741	29	ABR	Q6ZT60	ABR, RhoGEF and GTPase activating protein
ENSG00000278741	29	ABR	B7Z7Z1	ABR, RhoGEF and GTPase activating protein
ENSG00000278741	29	ABR	B7Z683	ABR, RhoGEF and GTPase activating protein
ENSG00000276016	29	ABR	B7Z2X0	ABR, RhoGEF and GTPase activating protein
ENSG00000276016	29	ABR	Q12979	ABR, RhoGEF and GTPase activating protein
ENSG00000276016	29	ABR	Q6ZT60	ABR, RhoGEF and GTPase activating protein
ENSG00000276016	29	ABR	B7Z7Z1	ABR, RhoGEF and GTPase activating protein
ENSG00000276016	29	ABR	B7Z683	ABR, RhoGEF and GTPase activating protein
ENSG00000060971	30	ACAA1	A0A140VJX0	acetyl-CoA acyltransferase 1
ENSG00000060971	30	ACAA1	P09110	acetyl-CoA acyltransferase 1
ENSG00000060971	30	ACAA1	A0A024R2M6	acetyl-CoA acyltransferase 1
ENSG00000278540	31	ACACA	B2ZZ90	acetyl-CoA carboxylase alpha
ENSG00000278540	31	ACACA	Q13085	acetyl-CoA carboxylase alpha
ENSG00000278540	31	ACACA	Q7Z5W8	acetyl-CoA carboxylase alpha
ENSG00000278540	31	ACACA	A0A024R0Y2	acetyl-CoA carboxylase alpha
ENSG00000275176	31	ACACA	B2ZZ90	acetyl-CoA carboxylase alpha
ENSG00000275176	31	ACACA	Q13085	acetyl-CoA carboxylase alpha
ENSG00000275176	31	ACACA	Q7Z5W8	acetyl-CoA carboxylase alpha
ENSG00000275176	31	ACACA	A0A024R0Y2	acetyl-CoA carboxylase alpha
ENSG00000076555	32	ACACB	O00763	acetyl-CoA carboxylase beta
ENSG00000115361	33	ACADL	P28330	acyl-CoA dehydrogenase long chain
ENSG00000117054	34	ACADM	A0A0S2Z366	acyl-CoA dehydrogenase medium chain
ENSG00000117054	34	ACADM	P11310	acyl-CoA dehydrogenase medium chain
ENSG00000117054	34	ACADM	B7Z9I1	acyl-CoA dehydrogenase medium chain
ENSG00000117054	34	ACADM	Q5HYG7	acyl-CoA dehydrogenase medium chain
ENSG00000117054	34	ACADM	Q5T4U5	acyl-CoA dehydrogenase medium chain
ENSG00000117054	34	ACADM	B4DJE7	acyl-CoA dehydrogenase medium chain
ENSG00000122971	35	ACADS	E5KSD5	acyl-CoA dehydrogenase short chain
ENSG00000122971	35	ACADS	P16219	acyl-CoA dehydrogenase short chain
ENSG00000122971	35	ACADS	B4DUH1	acyl-CoA dehydrogenase short chain
ENSG00000122971	35	ACADS	E9PE82	acyl-CoA dehydrogenase short chain
ENSG00000196177	36	ACADSB	P45954	acyl-CoA dehydrogenase short/branched chain
ENSG00000196177	36	ACADSB	A0A0S2Z3P9	acyl-CoA dehydrogenase short/branched chain
ENSG00000072778	37	ACADVL	P49748	acyl-CoA dehydrogenase very long chain
ENSG00000072778	37	ACADVL	B3KPA6	acyl-CoA dehydrogenase very long chain
ENSG00000075239	38	ACAT1	A0A140VJX1	acetyl-CoA acetyltransferase 1
ENSG00000075239	38	ACAT1	P24752	acetyl-CoA acetyltransferase 1
ENSG00000120437	39	ACAT2	Q9BWD1	acetyl-CoA acetyltransferase 2
ENSG00000108684	40	ASIC2	Q16515	acid sensing ion channel subunit 2
ENSG00000110881	41	ASIC1	A8K1U5	acid sensing ion channel subunit 1
ENSG00000110881	41	ASIC1	P78348	acid sensing ion channel subunit 1
ENSG00000087085	43	ACHE	P22303	acetylcholinesterase (Cartwright blood group)
ENSG00000131473	47	ACLY	A0A024R1T9	ATP citrate lyase
ENSG00000131473	47	ACLY	P53396	ATP citrate lyase
ENSG00000131473	47	ACLY	Q4LE36	ATP citrate lyase
ENSG00000131473	47	ACLY	A0A024R1Y2	ATP citrate lyase
ENSG00000122729	48	ACO1	P21399	aconitase 1
ENSG00000122729	48	ACO1	Q9HBB2	aconitase 1
ENSG00000122729	48	ACO1	V9HWB7	aconitase 1
ENSG00000100312	49	ACR	P10323	acrosin
ENSG00000283539	49	ACR	P10323	acrosin
ENSG00000100412	50	ACO2	Q99798	aconitase 2
ENSG00000161533	51	ACOX1	Q15067	acyl-CoA oxidase 1
ENSG00000143727	52	ACP1	A0A140VK37	acid phosphatase 1
ENSG00000143727	52	ACP1	P24666	acid phosphatase 1
ENSG00000143727	52	ACP1	Q59EH3	acid phosphatase 1
ENSG00000134575	53	ACP2	B7Z552	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	E9PQY3	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	P11117	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	B7Z7D2	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	B7Z4Z2	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	B7Z6T8	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	E9PHY0	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	B7Z6L8	acid phosphatase 2, lysosomal
ENSG00000134575	53	ACP2	B7Z8T9	acid phosphatase 2, lysosomal
ENSG00000102575	54	ACP5	A0A024R7F8	acid phosphatase 5, tartrate resistant
ENSG00000102575	54	ACP5	P13686	acid phosphatase 5, tartrate resistant
ENSG00000014257	55	ACPP	P15309	acid phosphatase, prostate
ENSG00000134940	56	ACRV1	P26436	acrosomal vesicle protein 1
ENSG00000143632	58	ACTA1	P68133	actin, alpha 1, skeletal muscle
ENSG00000107796	59	ACTA2	D2JYH4	actin, alpha 2, smooth muscle, aorta
ENSG00000107796	59	ACTA2	P62736	actin, alpha 2, smooth muscle, aorta
ENSG00000075624	60	ACTB	P60709	actin beta
ENSG00000075624	60	ACTB	Q1KLZ0	actin beta
ENSG00000159251	70	ACTC1	B3KPP5	actin, alpha, cardiac muscle 1
ENSG00000159251	70	ACTC1	P68032	actin, alpha, cardiac muscle 1
ENSG00000184009	71	ACTG1	P63261	actin gamma 1
ENSG00000163017	72	ACTG2	P63267	actin, gamma 2, smooth muscle, enteric
ENSG00000130402	81	ACTN4	A0A0S2Z3G9	actinin alpha 4
ENSG00000130402	81	ACTN4	O43707	actinin alpha 4
ENSG00000282844	81	ACTN4	A0A0S2Z3G9	actinin alpha 4
ENSG00000282844	81	ACTN4	O43707	actinin alpha 4
ENSG00000136518	86	ACTL6A	O96019	actin like 6A
ENSG00000072110	87	ACTN1	A0A024R694	actinin alpha 1
ENSG00000072110	87	ACTN1	P12814	actinin alpha 1
ENSG00000077522	88	ACTN2	P35609	actinin alpha 2
ENSG00000077522	88	ACTN2	F6THM6	actinin alpha 2
ENSG00000077522	88	ACTN2	Q59FD9	actinin alpha 2
ENSG00000248746	89	ACTN3	B4DZQ2	actinin alpha 3 (gene/pseudogene)
ENSG00000248746	89	ACTN3	Q08043	actinin alpha 3 (gene/pseudogene)
ENSG00000248746	89	ACTN3	A0A087WSZ2	actinin alpha 3 (gene/pseudogene)
ENSG00000115170	90	ACVR1	D3DPA4	activin A receptor type 1
ENSG00000115170	90	ACVR1	Q04771	activin A receptor type 1
ENSG00000135503	91	ACVR1B	P36896	activin A receptor type 1B
ENSG00000121989	92	ACVR2A	P27037	activin A receptor type 2A
ENSG00000114739	93	ACVR2B	Q13705	activin A receptor type 2B
ENSG00000139567	94	ACVRL1	A0A0S2Z310	activin A receptor like type 1
ENSG00000139567	94	ACVRL1	P37023	activin A receptor like type 1
ENSG00000243989	95	ACY1	Q03154	aminoacylase 1
ENSG00000243989	95	ACY1	V9HWA0	aminoacylase 1
ENSG00000119640	97	ACYP1	P07311	acylphosphatase 1
ENSG00000119640	97	ACYP1	G3V2U7	acylphosphatase 1
ENSG00000170634	98	ACYP2	U3KQL2	acylphosphatase 2
ENSG00000170634	98	ACYP2	A0A140VJD7	acylphosphatase 2
ENSG00000170634	98	ACYP2	P14621	acylphosphatase 2
ENSG00000196839	100	ADA	A0A0S2Z381	adenosine deaminase
ENSG00000196839	100	ADA	P00813	adenosine deaminase
ENSG00000196839	100	ADA	F5GWI4	adenosine deaminase
ENSG00000151651	101	ADAM8	P78325	ADAM metallopeptidase domain 8
ENSG00000151651	101	ADAM8	Q14C66	ADAM metallopeptidase domain 8
ENSG00000137845	102	ADAM10	A0A024R5U5	ADAM metallopeptidase domain 10
ENSG00000137845	102	ADAM10	O14672	ADAM metallopeptidase domain 10
ENSG00000160710	103	ADAR	P55265	adenosine deaminase, RNA specific
ENSG00000197381	104	ADARB1	P78563	adenosine deaminase, RNA specific B1
ENSG00000185736	105	ADARB2	Q9NS39	adenosine deaminase, RNA specific B2 (inactive)
ENSG00000164742	107	ADCY1	C9J1J0	adenylate cyclase 1
ENSG00000164742	107	ADCY1	Q08828	adenylate cyclase 1
ENSG00000078295	108	ADCY2	Q08462	adenylate cyclase 2
ENSG00000078295	108	ADCY2	Q71UM8	adenylate cyclase 2
ENSG00000138031	109	ADCY3	A0A0A0MSC1	adenylate cyclase 3
ENSG00000138031	109	ADCY3	B7ZLX9	adenylate cyclase 3
ENSG00000138031	109	ADCY3	O60266	adenylate cyclase 3
ENSG00000173175	111	ADCY5	O95622	adenylate cyclase 5
ENSG00000173175	111	ADCY5	B7Z2C7	adenylate cyclase 5
ENSG00000173175	111	ADCY5	B3KWA8	adenylate cyclase 5
ENSG00000174233	112	ADCY6	O43306	adenylate cyclase 6
ENSG00000121281	113	ADCY7	P51828	adenylate cyclase 7
ENSG00000121281	113	ADCY7	Q86YI0	adenylate cyclase 7
ENSG00000121281	113	ADCY7	B3KSJ0	adenylate cyclase 7
ENSG00000121281	113	ADCY7	F5H4D1	adenylate cyclase 7
ENSG00000155897	114	ADCY8	A0A0K0K1K3	adenylate cyclase 8
ENSG00000155897	114	ADCY8	P40145	adenylate cyclase 8
ENSG00000155897	114	ADCY8	Q4F7X0	adenylate cyclase 8
ENSG00000162104	115	ADCY9	O60503	adenylate cyclase 9
ENSG00000141433	116	ADCYAP1	P18509	adenylate cyclase activating polypeptide 1
ENSG00000078549	117	ADCYAP1R1	A0A090N8F8	ADCYAP receptor type I
ENSG00000078549	117	ADCYAP1R1	P41586	ADCYAP receptor type I
ENSG00000087274	118	ADD1	P35611	adducin 1
ENSG00000075340	119	ADD2	P35612	adducin 2
ENSG00000075340	119	ADD2	Q05DK5	adducin 2
ENSG00000148700	120	ADD3	Q9UEY8	adducin 3
ENSG00000148700	120	ADD3	Q53FL4	adducin 3
ENSG00000148700	120	ADD3	Q5VU08	adducin 3
ENSG00000148700	120	ADD3	Q59EK1	adducin 3
ENSG00000147872	123	PLIN2	Q6FHZ7	perilipin 2
ENSG00000147872	123	PLIN2	Q99541	perilipin 2
ENSG00000187758	124	ADH1A	P07327	alcohol dehydrogenase 1A (class I), alpha polypeptide
ENSG00000196616	125	ADH1B	P00325	alcohol dehydrogenase 1B (class I), beta polypeptide
ENSG00000196616	125	ADH1B	V9HW50	alcohol dehydrogenase 1B (class I), beta polypeptide
ENSG00000196616	125	ADH1B	D6RHZ6	alcohol dehydrogenase 1B (class I), beta polypeptide
ENSG00000248144	126	ADH1C	P00326	alcohol dehydrogenase 1C (class I), gamma polypeptide
ENSG00000198099	127	ADH4	P08319	alcohol dehydrogenase 4 (class II), pi polypeptide
ENSG00000198099	127	ADH4	V9HVX7	alcohol dehydrogenase 4 (class II), pi polypeptide
ENSG00000197894	128	ADH5	P11766	alcohol dehydrogenase 5 (class III), chi polypeptide
ENSG00000197894	128	ADH5	Q6IRT1	alcohol dehydrogenase 5 (class III), chi polypeptide
ENSG00000172955	130	ADH6	P28332	alcohol dehydrogenase 6 (class V)
ENSG00000172955	130	ADH6	Q8IUN7	alcohol dehydrogenase 6 (class V)
ENSG00000172955	130	ADH6	A0A0A0MS56	alcohol dehydrogenase 6 (class V)
ENSG00000196344	131	ADH7	P40394	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ENSG00000156110	132	ADK	A0A140VJE0	adenosine kinase
ENSG00000156110	132	ADK	P55263	adenosine kinase
ENSG00000148926	133	ADM	P35318	adrenomedullin
ENSG00000163485	134	ADORA1	P30542	adenosine A1 receptor
ENSG00000163485	134	ADORA1	B7Z1L9	adenosine A1 receptor
ENSG00000128271	135	ADORA2A	B3KVQ4	adenosine A2a receptor
ENSG00000128271	135	ADORA2A	P29274	adenosine A2a receptor
ENSG00000128271	135	ADORA2A	X5DNB4	adenosine A2a receptor
ENSG00000128271	135	ADORA2A	A8K1F6	adenosine A2a receptor
ENSG00000170425	136	ADORA2B	P29275	adenosine A2b receptor
ENSG00000282608	140	ADORA3	P0DMS8	adenosine A3 receptor
ENSG00000282608	140	ADORA3	A0A0J9YWR0	adenosine A3 receptor
ENSG00000282608	140	ADORA3	H6VQ59	adenosine A3 receptor
ENSG00000144843	141	ADPRH	P54922	ADP-ribosylarginine hydrolase
ENSG00000144843	141	ADPRH	A8K6X2	ADP-ribosylarginine hydrolase
ENSG00000144843	141	ADPRH	B4E341	ADP-ribosylarginine hydrolase
ENSG00000143799	142	PARP1	A0A024R3T8	poly(ADP-ribose) polymerase 1
ENSG00000143799	142	PARP1	P09874	poly(ADP-ribose) polymerase 1
ENSG00000102699	143	PARP4	Q9UKK3	poly(ADP-ribose) polymerase family member 4
ENSG00000171873	146	ADRA1D	B0ZBE0	adrenoceptor alpha 1D
ENSG00000171873	146	ADRA1D	P25100	adrenoceptor alpha 1D
ENSG00000170214	147	ADRA1B	P35368	adrenoceptor alpha 1B
ENSG00000120907	148	ADRA1A	P35348	adrenoceptor alpha 1A
ENSG00000120907	148	ADRA1A	B0ZBD3	adrenoceptor alpha 1A
ENSG00000150594	150	ADRA2A	P08913	adrenoceptor alpha 2A
ENSG00000274286	151	ADRA2B	P18089	adrenoceptor alpha 2B
ENSG00000184160	152	ADRA2C	P18825	adrenoceptor alpha 2C
ENSG00000184160	152	ADRA2C	Q4W594	adrenoceptor alpha 2C
ENSG00000043591	153	ADRB1	P08588	adrenoceptor beta 1
ENSG00000169252	154	ADRB2	P07550	adrenoceptor beta 2
ENSG00000188778	155	ADRB3	A8KAG8	adrenoceptor beta 3
ENSG00000188778	155	ADRB3	P13945	adrenoceptor beta 3
ENSG00000173020	156	GRK2	A0A0S2Z392	G protein-coupled receptor kinase 2
ENSG00000173020	156	GRK2	P25098	G protein-coupled receptor kinase 2
ENSG00000100077	157	GRK3	A0A024R1D8	G protein-coupled receptor kinase 3
ENSG00000100077	157	GRK3	P35626	G protein-coupled receptor kinase 3
ENSG00000100077	157	GRK3	Q8N433	G protein-coupled receptor kinase 3
ENSG00000239900	158	ADSL	P30566	adenylosuccinate lyase
ENSG00000239900	158	ADSL	X5D8S6	adenylosuccinate lyase
ENSG00000239900	158	ADSL	X5D7W4	adenylosuccinate lyase
ENSG00000239900	158	ADSL	A0A1B0GWJ0	adenylosuccinate lyase
ENSG00000035687	159	ADSS	A0A024R5Q7	adenylosuccinate synthase
ENSG00000035687	159	ADSS	P30520	adenylosuccinate synthase
ENSG00000196961	160	AP2A1	O95782	adaptor related protein complex 2 alpha 1 subunit
ENSG00000183020	161	AP2A2	O94973	adaptor related protein complex 2 alpha 2 subunit
ENSG00000280759	161	AP2A2	O94973	adaptor related protein complex 2 alpha 2 subunit
ENSG00000281385	161	AP2A2	O94973	adaptor related protein complex 2 alpha 2 subunit
ENSG00000100280	162	AP1B1	Q10567	adaptor related protein complex 1 beta 1 subunit
ENSG00000006125	163	AP2B1	A0A140VJE8	adaptor related protein complex 2 beta 1 subunit
ENSG00000006125	163	AP2B1	P63010	adaptor related protein complex 2 beta 1 subunit
ENSG00000006125	163	AP2B1	Q96EL6	adaptor related protein complex 2 beta 1 subunit
ENSG00000166747	164	AP1G1	A0A140VJE7	adaptor related protein complex 1 gamma 1 subunit
ENSG00000166747	164	AP1G1	O43747	adaptor related protein complex 1 gamma 1 subunit
ENSG00000166747	164	AP1G1	Q8IY97	adaptor related protein complex 1 gamma 1 subunit
ENSG00000106624	165	AEBP1	Q8IUX7	AE binding protein 1
ENSG00000104964	166	AES	Q08117	amino-terminal enhancer of split
ENSG00000104964	166	AES	Q8WY48	amino-terminal enhancer of split
ENSG00000124812	167	CRISP1	A0A0K0K1I1	cysteine rich secretory protein 1
ENSG00000124812	167	CRISP1	P54107	cysteine rich secretory protein 1
ENSG00000223959	172	AFG3L1P	NA	AFG3 like matrix AAA peptidase subunit 1, pseudogene
ENSG00000079557	173	AFM	P43652	afamin
ENSG00000081051	174	AFP	P02771	alpha fetoprotein
ENSG00000038002	175	AGA	P20933	aspartylglucosaminidase
ENSG00000157766	176	ACAN	E7ENV9	aggrecan
ENSG00000157766	176	ACAN	E7EX88	aggrecan
ENSG00000157766	176	ACAN	H0YM81	aggrecan
ENSG00000204305	177	AGER	A0A1U9X785	advanced glycosylation end-product specific receptor
ENSG00000204305	177	AGER	B4DNX3	advanced glycosylation end-product specific receptor
ENSG00000204305	177	AGER	Q15109	advanced glycosylation end-product specific receptor
ENSG00000231268	177	AGER	A0A1U9X785	advanced glycosylation end-product specific receptor
ENSG00000231268	177	AGER	B4DNX3	advanced glycosylation end-product specific receptor
ENSG00000231268	177	AGER	Q15109	advanced glycosylation end-product specific receptor
ENSG00000229058	177	AGER	A0A1U9X785	advanced glycosylation end-product specific receptor
ENSG00000229058	177	AGER	B4DNX3	advanced glycosylation end-product specific receptor
ENSG00000229058	177	AGER	Q15109	advanced glycosylation end-product specific receptor
ENSG00000234729	177	AGER	A0A1U9X785	advanced glycosylation end-product specific receptor
ENSG00000234729	177	AGER	B4DNX3	advanced glycosylation end-product specific receptor
ENSG00000234729	177	AGER	Q15109	advanced glycosylation end-product specific receptor
ENSG00000230514	177	AGER	A0A1U9X785	advanced glycosylation end-product specific receptor
ENSG00000230514	177	AGER	B4DNX3	advanced glycosylation end-product specific receptor
ENSG00000230514	177	AGER	Q15109	advanced glycosylation end-product specific receptor
ENSG00000206320	177	AGER	A0A1U9X785	advanced glycosylation end-product specific receptor
ENSG00000206320	177	AGER	B4DNX3	advanced glycosylation end-product specific receptor
ENSG00000206320	177	AGER	Q15109	advanced glycosylation end-product specific receptor
ENSG00000237405	177	AGER	A0A1U9X785	advanced glycosylation end-product specific receptor
ENSG00000237405	177	AGER	B4DNX3	advanced glycosylation end-product specific receptor
ENSG00000237405	177	AGER	Q15109	advanced glycosylation end-product specific receptor
ENSG00000162688	178	AGL	A0A0S2A4E4	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
ENSG00000162688	178	AGL	P35573	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
ENSG00000159723	181	AGRP	C6SUN5	agouti related neuropeptide
ENSG00000159723	181	AGRP	O00253	agouti related neuropeptide
ENSG00000101384	182	JAG1	P78504	jagged 1
ENSG00000101384	182	JAG1	Q99740	jagged 1
ENSG00000135744	183	AGT	B0ZBE2	angiotensinogen
ENSG00000135744	183	AGT	B2R5S1	angiotensinogen
ENSG00000135744	183	AGT	P01019	angiotensinogen
ENSG00000144891	185	AGTR1	P30556	angiotensin II receptor type 1
ENSG00000144891	185	AGTR1	Q53YY0	angiotensin II receptor type 1
ENSG00000144891	185	AGTR1	D3DNG8	angiotensin II receptor type 1
ENSG00000144891	185	AGTR1	Q6NUP5	angiotensin II receptor type 1
ENSG00000144891	185	AGTR1	A0A0A0MSE3	angiotensin II receptor type 1
ENSG00000180772	186	AGTR2	P50052	angiotensin II receptor type 2
ENSG00000134817	187	APLNR	B2RDH3	apelin receptor
ENSG00000134817	187	APLNR	B3KQN4	apelin receptor
ENSG00000134817	187	APLNR	P35414	apelin receptor
ENSG00000172482	189	AGXT	P21549	alanine--glyoxylate and serine--pyruvate aminotransferase
ENSG00000169297	190	NR0B1	F1D8P4	nuclear receptor subfamily 0 group B member 1
ENSG00000169297	190	NR0B1	P51843	nuclear receptor subfamily 0 group B member 1
ENSG00000101444	191	AHCY	P23526	adenosylhomocysteinase
ENSG00000101444	191	AHCY	Q1RMG2	adenosylhomocysteinase
ENSG00000106546	196	AHR	A0A024R9Z8	aryl hydrocarbon receptor
ENSG00000106546	196	AHR	P35869	aryl hydrocarbon receptor
ENSG00000145192	197	AHSG	P02765	alpha 2-HS glycoprotein
ENSG00000204472	199	AIF1	I3WTX1	allograft inflammatory factor 1
ENSG00000204472	199	AIF1	P55008	allograft inflammatory factor 1
ENSG00000204472	199	AIF1	Q4V347	allograft inflammatory factor 1
ENSG00000237727	199	AIF1	I3WTX1	allograft inflammatory factor 1
ENSG00000237727	199	AIF1	P55008	allograft inflammatory factor 1
ENSG00000237727	199	AIF1	Q4V347	allograft inflammatory factor 1
ENSG00000206428	199	AIF1	I3WTX1	allograft inflammatory factor 1
ENSG00000206428	199	AIF1	P55008	allograft inflammatory factor 1
ENSG00000206428	199	AIF1	Q4V347	allograft inflammatory factor 1
ENSG00000234836	199	AIF1	I3WTX1	allograft inflammatory factor 1
ENSG00000234836	199	AIF1	P55008	allograft inflammatory factor 1
ENSG00000234836	199	AIF1	Q4V347	allograft inflammatory factor 1
ENSG00000235588	199	AIF1	I3WTX1	allograft inflammatory factor 1
ENSG00000235588	199	AIF1	P55008	allograft inflammatory factor 1
ENSG00000235588	199	AIF1	Q4V347	allograft inflammatory factor 1
ENSG00000235985	199	AIF1	I3WTX1	allograft inflammatory factor 1
ENSG00000235985	199	AIF1	P55008	allograft inflammatory factor 1
ENSG00000235985	199	AIF1	Q4V347	allograft inflammatory factor 1
ENSG00000112297	202	CRYBG1	B3KPT0	crystallin beta-gamma domain containing 1
ENSG00000112297	202	CRYBG1	Q9Y4K1	crystallin beta-gamma domain containing 1
ENSG00000112297	202	CRYBG1	A0A0J9YWL0	crystallin beta-gamma domain containing 1
ENSG00000106992	203	AK1	P00568	adenylate kinase 1
ENSG00000106992	203	AK1	Q6FGX9	adenylate kinase 1
ENSG00000106992	203	AK1	Q5T9B7	adenylate kinase 1
ENSG00000004455	204	AK2	P54819	adenylate kinase 2
ENSG00000004455	204	AK2	F8W1A4	adenylate kinase 2
ENSG00000004455	204	AK2	F8VY04	adenylate kinase 2
ENSG00000004455	204	AK2	G3V213	adenylate kinase 2
ENSG00000004455	204	AK2	A0A140VK93	adenylate kinase 2
